Experiment Name,Subject ID,trialnum,Start Time,time,categoryname,score,scoretime,switchtime,partshape,partshapenum,trueshape,trueshapenum,result,totalscore,minusscore,money
memory,brooke1,1,08:49.3,27:33:00,OCCUPATIONS,13,"['17:8:51.848', '17:8:52.669', '17:8:56.112', '17:9:0.633', '17:9:3.807', '17:9:5.832', '17:9:9.612', '17:9:15.800', '17:9:20.874', '17:9:35.451', '17:9:37.197', '17:10:3.377', '17:10:6.830']",10:31.6,[],[],[],[],[],13,[],0.65
memory,brooke2,2,11:16.7,26:28:00,BODY PARTS,11,"['17:11:19.375', '17:11:20.250', '17:11:20.966', '17:11:22.813', '17:11:24.432', '17:11:25.557', '17:11:26.750', '17:11:28.11', '17:11:28.977', '17:11:29.787', '17:11:33.499']",11:35.4,[],[],[],[],[],24,[],1.2
memory,brooke3,3,12:20.4,25:22:00,FURNITURE,8,"['17:12:22.830', '17:12:23.697', '17:12:24.508', '17:12:26.465', '17:12:27.567', '17:12:29.749', '17:12:34.26', '17:12:40.56']",12:41.5,triangle,2,triangle,2,1,32,0,1.6
memory,brooke4,4,13:26.6,24:04:00,NON-FOOD ITEMS FOUND IN SUPERMARKET,18,"['17:13:31.221', '17:13:32.116', '17:13:34.348', '17:13:35.424', '17:13:36.170', '17:13:36.980', '17:13:38.260', '17:13:42.380', '17:13:43.257', '17:13:44.518', '17:13:45.890', '17:13:47.374', '17:13:48.635', '17:13:49.670', '17:13:50.728', '17:13:52.596', '17:13:53.675', '17:13:55.341']",13:59.7,[],[],[],[],[],50,[],2.5
memory,brooke5,5,14:44.7,23:03,VEGETABLES,4,"['17:14:47.483', '17:14:48.215', '17:14:54.628', '17:14:55.326']",15:00.9,[],[],[],[],[],54,[],2.7
memory,brooke6,6,15:45.9,21:49,HOBBIES,11,"['17:15:48.772', '17:15:50.136', '17:15:52.340', '17:15:54.861', '17:15:56.300', '17:16:1.116', '17:16:3.614', '17:16:6.493', '17:16:8.878', '17:16:10.341', '17:16:13.108']",16:14.5,[],[],[],[],[],65,[],3.25
memory,brooke7,7,16:59.5,20:48,TOOLS,5,"['17:17:1.712', '17:17:2.811', '17:17:3.935', '17:17:6.74', '17:17:14.16']",17:16.0,triangle,2,triangle,2,1,70,0,3.5
memory,brooke8,8,18:01.0,19:26,ANIMALS,14,"['17:18:3.630', '17:18:4.435', '17:18:5.425', '17:18:6.846', '17:18:8.827', '17:18:10.581', '17:18:12.604', '17:18:14.810', '17:18:16.382', '17:18:17.669', '17:18:22.711', '17:18:23.924', '17:18:27.249', '17:18:31.33']",18:37.4,[],[],[],[],[],84,[],4.2
memory,brooke9,9,19:22.4,18:05,FOODS,13,"['17:19:25.338', '17:19:27.824', '17:19:28.611', '17:19:29.939', '17:19:30.883', '17:19:32.481', '17:19:40.784', '17:19:42.291', '17:19:44.852', '17:19:46.814', '17:19:47.780', '17:19:50.796', '17:19:55.928']",19:58.4,[],[],[],[],[],97,[],4.85
memory,brooke10,10,20:43.4,16:54,TECHNOLOGY GADGETS & DEVICES,10,"['17:20:47.263', '17:20:48.105', '17:20:51.127', '17:20:52.86', '17:20:52.987', '17:20:55.305', '17:20:56.924', '17:20:59.735', '17:21:3.494', '17:21:6.104']",21:10.1,[],[],[],[],[],107,[],5.35
memory,brooke11,11,21:55.2,15:48,MUSICAL INSTRUMENTS,9,"['17:21:57.698', '17:21:59.359', '17:22:0.216', '17:22:1.5', '17:22:3.479', '17:22:6.112', '17:22:8.428', '17:22:13.514', '17:22:14.639']",22:16.5,[],[],[],[],[],116,[],5.8
memory,brooke12,12,23:01.6,14:43,CLOTHING,10,"['17:23:4.128', '17:23:5.40', '17:23:5.827', '17:23:6.772', '17:23:8.572', '17:23:9.584', '17:23:14.625', '17:23:15.862', '17:23:18.269', '17:23:19.416']",23:21.2,triangle,2,triangle,2,1,126,0,6.3
memory,brooke13,13,24:06.2,13:41,MEDICAL CONDITIONS,2,"['17:24:12.743', '17:24:18.166']",24:23.4,[],[],[],[],[],128,[],6.4
memory,brooke14,14,25:08.5,12:30,OFFICE SUPPLIES,11,"['17:25:11.8', '17:25:12.165', '17:25:13.110', '17:25:14.280', '17:25:15.225', '17:25:16.192', '17:25:17.497', '17:25:19.207', '17:25:22.666', '17:25:24.22', '17:25:26.280']",25:33.6,[],[],[],[],[],139,[],6.95
memory,brooke15,15,26:18.7,11:24,TOYS,6,"['17:26:22.62', '17:26:23.851', '17:26:25.583', '17:26:31.860', '17:26:35.191', '17:26:36.516']",26:40.4,[],[],[],[],[],145,[],7.25
memory,brooke16,16,27:25.5,10:03,THINGS FOUND IN KITCHENS,20,"['17:27:28.956', '17:27:30.720', '17:27:31.508', '17:27:32.476', '17:27:34.679', '17:27:36.277', '17:27:37.419', '17:27:38.774', '17:27:41.971', '17:27:43.658', '17:27:44.788', '17:27:46.200', '17:27:48.473', '17:27:49.733', '17:27:51.780', '17:27:53.442', '17:27:54.773', '17:27:56.258', '17:27:57.473', '17:27:58.689']",28:01.1,[],[],[],[],[],165,[],8.25
memory,brooke17,17,28:46.1,9:03,LIQUIDS,5,"['17:28:48.826', '17:28:49.696', '17:28:51.90', '17:28:52.283', '17:28:57.432']",29:00.9,[],[],[],[],[],170,[],8.5
memory,brooke18,18,29:45.9,8:03,FLOWERS,4,"['17:29:48.707', '17:29:49.613', '17:29:51.345', '17:29:54.944']",30:00.6,square,3,square,3,1,174,0,8.7
memory,brooke19,19,30:45.6,6:51,FRUITS,10,"['17:30:47.934', '17:30:48.879', '17:30:49.868', '17:30:50.947', '17:30:54.29', '17:30:54.997', '17:30:56.682', '17:30:57.766', '17:31:0.58', '17:31:1.431']",31:12.8,[],[],[],[],[],184,[],9.2
memory,brooke20,20,31:57.8,5:44,MEANS OF TRANSPORT,7,"['17:32:0.758', '17:32:1.806', '17:32:3.508', '17:32:4.879', '17:32:5.935', '17:32:10.118', '17:32:12.345']",32:20.2,[],[],[],[],[],191,[],9.55
memory,brooke21,21,33:05.2,4:30,SPORTS,11,"['17:33:8.153', '17:33:9.17', '17:33:10.119', '17:33:11.377', '17:33:12.639', '17:33:13.876', '17:33:15.91', '17:33:16.395', '17:33:17.903', '17:33:20.290', '17:33:21.776']",33:33.8,circle,1,circle,1,1,202,0,10.1
memory,brooke22,22,34:18.8,3:24,HOME APPLIANCES,6,"['17:34:22.193', '17:34:24.594', '17:34:27.133', '17:34:28.778', '17:34:30.803', '17:34:32.717']",34:40.1,[],[],[],[],[],208,[],10.4
memory,brooke23,23,35:25.1,2:14,HOLIDAYS,8,"['17:35:27.845', '17:35:28.899', '17:35:30.402', '17:35:31.437', '17:35:39.676', '17:35:41.227', '17:35:43.344', '17:35:46.112']",35:49.3,[],[],[],[],[],216,[],10.8
memory,brooke24,24,36:34.3,0:55,NATURAL ENVIRONMENT,8,"['17:36:41.738', '17:36:45.107', '17:36:47.397', '17:36:51.356', '17:36:53.499', '17:36:56.941', '17:37:2.116', '17:37:6.840']",37:09.2,[],[],[],[],[],224,[],11.2
memory,brooke25,25,37:54.2,0:00,PLACES TO STAY,2,"['17:37:58.245', '17:38:9.819']",38:15.0,[],[],[],[],[],226,[],11.3
