Experiment Name,Subject ID,trialnum,Start Time,time,categoryname,score,scoretime,switchtime,partshape,partshapenum,trueshape,trueshapenum,result,totalscore,minusscore,money
memory,kevin1,1,37:25.8,43:38:00,MUSICAL INSTRUMENTS,18,"['14:37:31.873', '14:37:34.283', '14:37:35.296', '14:37:36.154', '14:37:36.916', '14:37:38.243', '14:37:39.594', '14:37:41.60', '14:37:42.24', '14:37:43.576', '14:37:44.364', '14:37:50.214', '14:37:51.70', '14:37:51.789', '14:37:52.486', '14:37:53.566', '14:37:56.154', '14:37:59.957']",38:02.2,[],[],[],[],[],18,[],0.9
memory,kevin2,2,38:47.2,42:19:00,PLACES TO STAY,7,"['14:38:51.742', '14:38:53.282', '14:38:54.541', '14:38:56.341', '14:38:57.196', '14:39:11.237', '14:39:12.182']",39:21.6,[],[],[],[],[],25,[],1.25
memory,kevin3,3,40:06.6,41:06:00,FLOWERS,8,"['14:40:8.819', '14:40:9.692', '14:40:10.636', '14:40:11.469', '14:40:14.146', '14:40:20.107', '14:40:27.175', '14:40:32.867']",40:34.7,square,3,square,3,1,33,0,1.65
memory,kevin4,4,41:19.7,38:11:00,FOODS,50,"['14:41:23.909', '14:41:24.528', '14:41:25.179', '14:41:25.787', '14:41:26.281', '14:41:27.586', '14:41:28.281', '14:41:28.801', '14:41:29.319', '14:41:30.377', '14:41:31.682', '14:41:36.228', '14:41:36.899', '14:41:38.364', '14:41:44.911', '14:41:45.965', '14:41:46.530', '14:41:47.364', '14:41:48.374', '14:41:53.529', '14:41:56.609', '14:42:4.150', '14:42:5.161', '14:42:6.61', '14:42:7.344', '14:42:9.459', '14:42:18.257', '14:42:19.133', '14:42:20.595', '14:42:21.407', '14:42:24.466', '14:42:25.321', '14:42:29.778', '14:42:31.645', '14:42:33.579', '14:42:34.411', '14:42:35.581', '14:42:39.135', '14:42:42.714', '14:42:48.24', '14:42:59.455', '14:43:0.355', '14:43:3.301', '14:43:4.382', '14:43:6.249', '14:43:9.443', '14:43:14.957', '14:43:16.396', '14:43:17.833', '14:43:28.16']",43:29.7,[],[],[],[],[],83,[],4.15
memory,kevin5,5,44:14.7,36:25:00,OFFICE SUPPLIES,23,"['14:44:17.357', '14:44:18.93', '14:44:18.801', '14:44:19.465', '14:44:20.138', '14:44:22.277', '14:44:23.131', '14:44:24.860', '14:44:28.150', '14:44:29.724', '14:44:30.421', '14:44:30.993', '14:44:35.596', '14:44:36.316', '14:44:38.949', '14:44:42.639', '14:44:48.354', '14:44:51.526', '14:44:55.59', '14:45:2.57', '14:45:4.842', '14:45:10.336', '14:45:13.332']",45:15.7,[],[],[],[],[],106,[],5.3
memory,kevin6,6,46:00.7,34:51:00,FRUITS,23,"['14:46:3.331', '14:46:4.21', '14:46:4.606', '14:46:5.326', '14:46:6.24', '14:46:6.677', '14:46:7.193', '14:46:8.49', '14:46:8.701', '14:46:14.776', '14:46:15.315', '14:46:15.901', '14:46:18.149', '14:46:19.726', '14:46:20.311', '14:46:20.992', '14:46:24.362', '14:46:35.355', '14:46:36.129', '14:46:38.62', '14:46:38.649', '14:46:39.211', '14:46:42.294']",46:49.7,[],[],[],[],[],129,[],6.45
memory,kevin7,7,47:34.7,33:33:00,TOOLS,10,"['14:47:36.930', '14:47:38.26', '14:47:41.65', '14:47:42.773', '14:47:47.251', '14:47:51.143', '14:47:52.561', '14:47:57.579', '14:48:1.741', '14:48:5.48']",48:06.8,circle,1,circle,1,1,139,0,6.95
memory,kevin8,8,48:51.9,30:58:00,LIQUIDS,40,"['14:48:54.279', '14:48:56.11', '14:48:56.952', '14:48:57.990', '14:48:59.3', '14:49:1.50', '14:49:2.783', '14:49:3.728', '14:49:4.538', '14:49:5.663', '14:49:6.608', '14:49:8.71', '14:49:9.83', '14:49:10.568', '14:49:15.446', '14:49:16.598', '14:49:21.352', '14:49:23.124', '14:49:23.886', '14:49:24.406', '14:49:25.148', '14:49:26.48', '14:49:31.201', '14:49:33.922', '14:49:38.939', '14:49:40.561', '14:49:41.370', '14:49:43.465', '14:49:44.746', '14:49:51.878', '14:49:55.593', '14:50:3.421', '14:50:14.965', '14:50:21.322', '14:50:22.949', '14:50:25.988', '14:50:26.754', '14:50:27.452', '14:50:31.501', '14:50:41.558']",50:42.4,[],[],[],[],[],179,[],8.95
memory,kevin9,9,51:27.4,29:54:00,NATURAL ENVIRONMENT,7,"['14:51:31.610', '14:51:32.839', '14:51:33.867', '14:51:34.613', '14:51:35.423', '14:51:36.927', '14:51:37.605']",51:45.9,[],[],[],[],[],186,[],9.3
memory,kevin10,10,52:30.9,27:57:00,TECHNOLOGY GADGETS & DEVICES,30,"['14:52:33.735', '14:52:34.576', '14:52:35.475', '14:52:36.398', '14:52:37.771', '14:52:41.371', '14:52:45.443', '14:52:46.501', '14:52:47.401', '14:52:51.338', '14:52:52.395', '14:52:53.855', '14:52:54.466', '14:52:55.6', '14:53:0.68', '14:53:1.688', '14:53:3.263', '14:53:5.108', '14:53:7.944', '14:53:9.585', '14:53:11.38', '14:53:12.38', '14:53:13.388', '14:53:14.378', '14:53:16.335', '14:53:18.1', '14:53:22.846', '14:53:31.771', '14:53:34.224', '14:53:42.998']",53:43.7,[],[],[],[],[],216,[],10.8
