Experiment Name,Subject ID,trials,Start Time,time,categoryname,score,scoretime,switchtime,partshape,partshapenum,trueshape,trueshapenum,result,totalscore,minusscore,money
memory,hyunsoo1,1,0,26:52:00,TOOLS,35,"[9933, 10922, 13237, 14678, 16433, 19044, 20348, 21333, 22215, 26063, 32362, 34770, 36038, 52646, 54280, 62560, 68003, 70412, 72412, 76801, 77724, 84295, 91246, 94802, 100090, 111204, 115366, 117705, 118584, 121168, 123151, 124164, 126435, 130711, 133456]",142150,[],[],[],[],[],35,[],1.75
memory,hyunsoo2,2,187161,25:19:00,HOLIDAYS,12,"[192456, 193452, 194745, 197244, 198095, 199085, 205997, 207749, 211915, 223944, 226292, 227303]",235516,[],[],[],[],[],47,[],2.35
memory,hyunsoo3,3,280525,23:48,HOME APPLIANCES,10,"[287299, 289405, 290755, 294199, 298539, 301216, 302814, 306729, 314084, 316742]",326701,square,3,square,3,1,57,0,2.85
memory,hyunsoo4,4,371720,22:20,MUSICAL INSTRUMENTS,14,"[376189, 377268, 378325, 379383, 380260, 381065, 383323, 384265, 385321, 387529, 394048, 396164, 397673, 403548]",414212,[],[],[],[],[],71,[],3.55
memory,hyunsoo5,5,459222,20:35,CLOTHING,16,"[465925, 466774, 467403, 469473, 470282, 474265, 476268, 478495, 481983, 485061, 486235, 487041, 493548, 494740, 512760, 514923]",519042,[],[],[],[],[],87,[],4.35
memory,hyunsoo6,6,564052,19:08,FLOWERS,8,"[569401, 570432, 571467, 572907, 573625, 576371, 579971, 598603]",606032,[],[],[],[],[],95,[],4.75
memory,hyunsoo7,7,651040,17:22,THINGS FOUND IN KITCHENS,17,"[659228, 662501, 664729, 665629, 674449, 677262, 678023, 681987, 684462, 694429, 695240, 695981, 698975, 699941, 701854, 706084, 708198]",712665,triangle,2,triangle,2,1,112,0,5.6
memory,hyunsoo8,8,757686,15:24,FOODS,25,"[762785, 764086, 766065, 768067, 769126, 770345, 771807, 773131, 776327, 777816, 782022, 783889, 786630, 788256, 791511, 793834, 795702, 798896, 800674, 802834, 806209, 807288, 811948, 813724, 818588]",830292,[],[],[],[],[],137,[],6.85
memory,hyunsoo9,9,875328,13:58,VEGETABLES,12,"[880971, 882396, 883857, 885410, 887320, 888447, 890494, 891531, 892970, 901566, 904018, 908743]",916262,[],[],[],[],[],149,[],7.45
memory,hyunsoo10,10,961274,12:38,LIQUIDS,7,"[966014, 968817, 974870, 976154, 981433, 987921, 989496]",996883,[],[],[],[],[],156,[],7.8
memory,hyunsoo11,11,1041891,11:03,NON-FOOD ITEMS FOUND IN SUPERMARKET,5,"[1048207, 1058887, 1065046, 1067999, 1076664]",1091311,[],[],[],[],[],161,[],8.05
memory,hyunsoo12,12,1136323,9:32,OFFICE SUPPLIES,16,"[1143601, 1145287, 1146411, 1147605, 1148705, 1152033, 1154129, 1156492, 1158809, 1160271, 1168776, 1170149, 1174785, 1175775, 1179307, 1180430]",1182286,circle,1,circle,1,1,177,0,8.85
memory,hyunsoo13,13,1227308,7:59,MEDICAL CONDITIONS,12,"[1233488, 1234455, 1237607, 1238731, 1242195, 1244127, 1245906, 1247052, 1249597, 1250792, 1257495, 1272128]",1275927,[],[],[],[],[],189,[],9.45
memory,hyunsoo14,14,1320934,6:34,TECHNOLOGY GADGETS & DEVICES,9,"[1325896, 1329651, 1335571, 1337369, 1339552, 1341511, 1349655, 1353908, 1358228]",1360707,[],[],[],[],[],198,[],9.9
memory,hyunsoo15,15,1405717,5:20,NATURAL ENVIRONMENT,8,"[1410915, 1412455, 1414704, 1418641, 1421336, 1424081, 1427554, 1433741]",1434454,[],[],[],[],[],206,[],10.3
memory,hyunsoo16,16,1479465,4:04,HOBBIES,8,"[1484570, 1485554, 1486684, 1488595, 1491021, 1497954, 1498830, 1500540]",1510175,[],[],[],[],[],214,[],10.7
memory,hyunsoo17,17,1555184,2:27,ANIMALS,21,"[1559253, 1559965, 1560750, 1563136, 1564304, 1565250, 1567501, 1569211, 1575400, 1576118, 1579037, 1580440, 1583656, 1586309, 1588111, 1590519, 1597405, 1600626, 1602489, 1603254, 1605391]",1607215,[],[],[],[],[],235,[],11.75
memory,hyunsoo18,18,1652224,1:02,FRUITS,16,"[1655726, 1656466, 1657164, 1658897, 1662564, 1663419, 1666660, 1667785, 1668953, 1669877, 1671609, 1675164, 1678728, 1680632, 1682656, 1690239]",1692093,none,0,square,3,0,241,10,12.55
memory,hyunsoo19,19,1737112,0:00,MEANS OF TRANSPORT,7,"[1750379, 1752561, 1754205, 1759693, 1763025, 1768563]",1772423,[],[],[],[],[],247,[],12.35
