Experiment Name,Subject ID,trials,Start Time,time,categoryname,score,scoretime,switchtime,partshape,partshapenum,trueshape,trueshapenum,result,totalscore,minusscore,money
memory,megan1,1,0,28:41:00,FOODS,20,"[4796, 5448, 6689, 7769, 8801, 9796, 10987, 11955, 13010, 14789, 15960, 17151, 18141, 19132, 20099, 22417, 23654, 24645, 25904, 27972]",33361,[],[],[],[],[],20,[],1
memory,megan2,2,78380,27:23:00,TOYS,15,"[83489, 84450, 86137, 87732, 88926, 90525, 93788, 95811, 98602, 99727, 101050, 102381, 104565, 105981, 109628]",111794,[],[],[],[],[],35,[],1.75
memory,megan3,3,156802,25:43:00,HOBBIES,23,"[160751, 161715, 162547, 166192, 167317, 168487, 169567, 170468, 174337, 175507, 177914, 180003, 184197, 189864, 191729, 194475, 195442, 198322, 200370, 201516, 202573, 203719, 206557]",211143,circle,1,circle,1,1,58,0,2.9
memory,megan4,4,256160,23:21,NATURAL ENVIRONMENT,20,"[290194, 303159, 304670, 306704, 311451, 317167, 318341, 319304, 321126, 324070, 325107, 336160, 337709, 339057, 340298, 342096, 344030, 348352, 352064]",353243,[],[],[],[],[],78,[],3.9
memory,megan5,5,398252,21:44,SPORTS,23,"[401387, 404152, 405071, 406221, 407301, 408356, 409907, 410947, 412297, 413333, 414479, 415694, 417764, 419137, 421364, 423075, 425864, 427057, 428608, 434099, 437091, 438937, 445214]",450221,[],[],[],[],[],101,[],5.05
memory,megan6,6,495231,20:16,FLOWERS,16,"[499484, 500497, 501576, 502544, 503444, 508642, 512130, 514872, 519847, 521129, 522501, 524189]",538393,[],[],[],[],[],117,[],5.85
memory,megan7,7,583404,18:16,OCCUPATIONS,35,"[586313, 587348, 588315, 589777, 590920, 592297, 593348, 594435, 595514, 600239, 602896, 604492, 605733, 607462, 608925, 610071, 611354, 613200, 614751, 616642, 619117, 621997, 628904, 631245, 636059, 638174, 639521, 641937, 643750, 646674, 650082, 651473, 652395, 654959, 656287]",658635,circle,1,circle,1,1,152,0,7.6
memory,megan8,8,703659,16:06,ANIMALS,47,"[706889, 707812, 711392, 712424, 713234, 713526, 714471, 715709, 717577, 718679, 719691, 720837, 723221, 726618, 728730, 729705, 731189, 732606, 733439, 734451, 735666, 736433, 737354, 738457, 739514, 740570, 741670, 742754, 744555, 745882, 748984, 750922, 753144, 755197, 756074, 757552, 758702, 763811, 764775, 769120, 770111, 770970, 772566, 777157, 780080, 781387, 784515]",788994,[],[],[],[],[],199,[],9.95
memory,megan9,9,834000,14:42,FURNITURE,14,"[837495, 838403, 843217, 844252, 845939, 848415, 849832, 852689, 854017, 857707, 858875, 863486, 867988, 870173]",872473,[],[],[],[],[],213,[],10.65
memory,megan10,10,917483,12:53,BODY PARTS,47,"[920899, 922704, 923631, 924554, 925476, 926489, 927569, 928552, 929502, 930400, 931660, 932898, 934247, 935192, 936248, 937943, 938818, 939606, 940282, 941204, 943566, 944578, 945569, 946628, 947887, 952073, 953174, 954051, 954996, 956098, 957021, 957922, 958889, 960532, 961657, 962753, 963767, 965029, 966352, 969054, 970387, 971556, 973514, 974864, 978127, 978935, 980196]",981097,[],[],[],[],[],260,[],13
memory,megan11,11,1026110,11:47,MEANS OF TRANSPORT,9,"[1030483, 1031425, 1032280, 1033224, 1034327, 1035183, 1036149, 1037368, 1038629]",1047121,[],[],[],[],[],269,[],13.45
memory,megan12,12,1092131,9:27,NON-FOOD ITEMS FOUND IN SUPERMARKET,44,"[1095697, 1096675, 1098317, 1100071, 1102638, 1104257, 1105342, 1107007, 1108581, 1109616, 1110584, 1111619, 1113869, 1114971, 1116613, 1119562, 1121028, 1130740, 1132450, 1133394, 1134926, 1142782, 1143973, 1145031, 1146224, 1149487, 1151197, 1153334, 1154550, 1155628, 1157947, 1161255, 1162671, 1166144, 1168336, 1171980, 1173673, 1175159, 1176262, 1179142, 1180335, 1181775, 1185261, 1186347]",1187524,triangle,2,triangle,2,1,313,0,15.65
memory,megan13,13,1232539,7:43,TECHNOLOGY GADGETS & DEVICES,29,"[1235864, 1237776, 1240274, 1241331, 1242479, 1244843, 1247383, 1250781, 1251906, 1254133, 1255394, 1256787, 1257823, 1260996, 1261919, 1264396, 1265407, 1267612, 1269524, 1270783, 1273349, 1274632, 1276229, 1279671, 1280616, 1281921, 1284554, 1287031, 1288401]",1291567,[],[],[],[],[],342,[],17.1
