Experiment Name,Subject ID,trials,Start Time,time,categoryname,score,scoretime,switchtime,partshape,partshapenum,trueshape,trueshapenum,result,totalscore,minusscore,money
memory,WQJBEK1,1,0,28:28,PLACES TO STAY,4,"[5196, 10951, 12143, 26423]",46084,[],[],[],[],[],4,[],0.20
memory,WQJBEK2,2,91099,25:15,MEANS OF TRANSPORT,15,"[94238, 95262, 96949, 97850, 99289, 106534, 108037, 141132, 153875, 162672, 179818, 182337, 192030, 194712, 216960]",239752,[],[],[],[],[],19,[],0.95
memory,WQJBEK3,3,284759,22:08,FRUITS,23,"[287979, 289215, 290764, 291934, 293127, 294163, 295984, 296952, 298926, 300140, 302910, 330124, 336170, 337700, 353077, 354486, 356397, 364813, 377886, 383197, 384320, 404302, 408997]",426019,[],[],circle,1,[],32,10,2.10
memory,WQJBEK4,4,471047,20:06,OFFICE SUPPLIES,14,"[475715, 477649, 480576, 487235, 489030, 491504, 493602, 494703, 507123, 508606, 527511, 528815, 539571]",548179,none,0,[],[],0,45,[],2.25
memory,WQJBEK5,5,593187,17:34,FURNITURE,12,"[595872, 597395, 600702, 602025, 613460, 622898, 625814, 633282, 650067, 651485, 660053, 687403]",700223,[],[],[],[],[],57,[],2.85
memory,WQJBEK6,6,745239,15:21,SPORTS,16,"[748337, 749407, 750709, 751948, 758180, 759981, 764278, 765735, 767831, 770915, 772151, 774941, 779892, 781557, 800314, 812300]",833597,[],[],[],[],[],73,[],3.65
memory,WQJBEK7,7,878604,11:39,HOLIDAYS,14,"[882457, 883596, 886024, 893358, 895947, 897702, 919081, 920625, 954754, 977556, 993112, 996095, 1003454, 1033064]",1055908,square,3,square,3,1,87,0,4.35
memory,WQJBEK8,8,1100925,06:14,NATURAL ENVIRONMENT,39,"[1106596, 1107876, 1109427, 1110597, 1113678, 1114805, 1116921, 1120656, 1126615, 1134403, 1137350, 1151504, 1152695, 1165236, 1173392, 1174608, 1176655, 1186109, 1197313, 1199968, 1202332, 1204063, 1236935, 1238309, 1239590, 1247263, 1262518, 1266680, 1270280, 1275298, 1286205, 1300162, 1301353, 1322639, 1324708, 1332180, 1347015, 1349029, 1357243]",1380885,[],[],[],[],[],126,[],6.30
memory,WQJBEK9,9,1425885,04:36,MUSICAL INSTRUMENTS,11,"[1429611, 1430981, 1432149, 1433093, 1434523, 1438745, 1440545, 1441556, 1454086, 1456631, 1466916]",1478492,[],[],[],[],[],137,[],6.85
memory,WQJBEK10,10,1523499,02:00,NON-FOOD ITEMS FOUND IN SUPERMARKET,19,"[1535455, 1539791, 1542647, 1543593, 1550389, 1557633, 1567489, 1568679, 1570593, 1571898, 1573383, 1576916, 1578563, 1582293, 1590100, 1592059, 1597818, 1610148, 1616988]",1634262,[],[],[],[],[],156,[],7.80
memory,WQJBEK11,11,1679271,00:37,FLOWERS,5,"[1684522, 1688716, 1690269, 1697246, 1705375]",1717190,[],[],[],[],[],161,[],8.05
memory,WQJBEK12,12,1762196,00:00,TECHNOLOGY GADGETS & DEVICES,12,"[1765496, 1766386, 1767668, 1769175, 1771108, 1772641, 1776399, 1777995, 1782338, 1786389, 1790890, 1792643]",[],[],[],[],[],[],173,[],[]
