Word,Time
laundry,502460
detergent,502460
laundry,506663
softener,506663
dish,509764
soap,509764
dish,509764
sponges,509764
like,513771
the,513771
toilet,513771
bowl,513771
cleaner,513771
solution,513771
plunger,518452
the,518452
brush,518452
for,518452
the,518452
toilet,518452
bowl,518452
cleaning,518452
like,523848
shampoo,523848
conditioner,523848
body,523848
wash,523848
loofah,525344
face,529744
wash,529744
lotion,532342
flowers,544742
planted,549469
other,549469
plants,549469
like,549469
planting,549469
pots,549469
soil,550867
batteries,553942
refrigerators,564648
oh,569151
pots,569151
pans,569151
knives,571949
spoons,571949
forks,571949
the,576367
spatula,576367
and,583269
the,583269
wooden,583269
spins,583269
or,583269
Wooden,583269
Forks,583269
and,583269
toothbrushes,591846
toothpaste,591846
mouthwash,593546
the,596965
solution,596965
for,596965
cleaning,596965
your,596965
your,600668
mouth,600668
pieces,600668
what,600668
are,600668
they,600668
called,600668
retainers,600668
if,615567
there's,615567
sometimes,615567
reading,615567
glasses,615567
birthday,626149
cards,626149
wedding,626149
cards,626149
other,626149
occasion,626149
cards,626149
like,635651
a,635651
microwave,635651
for,638865
air,638865
fryer,638865
or,638865
whisk,644461
a,644461
strainer,644461
milk,647047
frother,647047
s,651666
,667240
